Price,Adj Close,Close,High,Low,Open,Volume
Ticker,VTI,VTI,VTI,VTI,VTI,VTI
Date,,,,,,
2001-06-15,35.9151496887207,55.665000915527344,56.005001068115234,55.17499923706055,55.42499923706055,1067400
2001-06-18,35.68609619140625,55.310001373291016,55.915000915527344,55.310001373291016,55.814998626708984,282600
2001-06-19,35.78609848022461,55.46500015258789,56.165000915527344,55.23500061035156,56.150001525878906,1777600
2001-06-20,36.16354751586914,56.04999923706055,56.07500076293945,55.375,55.375,476000
2001-06-21,36.453887939453125,56.5,56.724998474121094,55.875,56.0,240400
2001-06-22,36.22161865234375,56.13999938964844,56.45000076293945,55.875,56.45000076293945,180600
2001-06-25,35.9887580871582,55.63999938964844,56.189998626708984,55.38999938964844,56.099998474121094,30400
2001-06-26,35.89496994018555,55.494998931884766,55.775001525878906,55.029998779296875,55.04999923706055,146600
2001-06-27,35.898216247558594,55.5,55.84000015258789,55.23500061035156,55.599998474121094,114000
2001-06-28,36.33805465698242,56.18000030517578,56.689998626708984,55.900001525878906,55.900001525878906,357400
2001-06-29,36.54500198364258,56.5,56.810001373291016,55.95500183105469,56.025001525878906,215000
2001-07-02,36.642051696777344,56.650001525878906,56.970001220703125,56.29999923706055,56.29999923706055,290000
2001-07-03,36.62264633178711,56.619998931884766,56.67499923706055,56.415000915527344,56.57500076293945,56800
2001-07-05,36.2054328918457,55.974998474121094,56.470001220703125,55.974998474121094,56.44499969482422,627600
2001-07-06,35.25140380859375,54.5,55.540000915527344,54.5,55.5,777000
2001-07-09,35.4777717590332,54.849998474121094,55.099998474121094,54.650001525878906,54.71500015258789,850000
2001-07-10,35.00884246826172,54.125,55.154998779296875,54.125,55.130001068115234,218000
2001-07-11,35.05411148071289,54.19499969482422,54.2599983215332,53.630001068115234,54.224998474121094,47200
2001-07-12,35.885276794433594,55.47999954223633,55.54499816894531,54.720001220703125,54.724998474121094,64800
2001-07-13,36.05666732788086,55.744998931884766,55.869998931884766,55.150001525878906,55.20000076293945,430000
2001-07-16,35.63947677612305,55.099998474121094,55.775001525878906,55.040000915527344,55.775001525878906,46400
2001-07-17,36.059898376464844,55.75,55.75,54.869998931884766,55.0,183400
2001-07-18,35.68476486206055,55.16999816894531,55.54499816894531,54.95500183105469,55.275001525878906,54400
2001-07-19,35.885276794433594,55.47999954223633,56.119998931884766,55.25,55.875,18600
2001-07-20,35.88851547241211,55.48500061035156,55.64500045776367,55.25,55.5,11600
2001-07-23,35.2675666809082,54.525001525878906,55.69499969482422,54.525001525878906,55.625,52000
2001-07-24,34.779212951660156,53.77000045776367,54.52000045776367,53.400001525878906,54.334999084472656,102400
2001-07-25,35.219051361083984,54.45000076293945,54.470001220703125,53.72999954223633,53.849998474121094,519200
